price,year,engine,distance
21 800 AZN,2012,1.8 L,133 826 km
22 900 AZN,2013,1.8 L,249 000 km
19 800 AZN,2011,1.8 L,165 000 km
20 000 AZN,2011,1.8 L,174 775 km
16 000 AZN,2007,1.5 L,188 000 km
19 000 AZN,2010,1.8 L,236 000 km
15 000 AZN,2008,1.5 L,232 000 km
23 200 AZN,2013,1.8 L,115 000 km
18 300 AZN,2012,1.8 L,426 476 km
12 540 AZN,2008,1.5 L,240 000 km
14 200 AZN,2007,1.5 L,283 245 km
15 500 AZN,2008,1.5 L,192 000 km
15 200 AZN,2008,1.5 L,310 000 km
16 600 AZN,2007,1.5 L,147 000 km
16 800 AZN,2009,1.5 L,265 542 km
15 600 AZN,2008,1.5 L,300 000 km
14 000 AZN,2007,1.5 L,280 000 km
16 000 AZN,2007,1.5 L,286 953 km
14 800 AZN,2007,1.5 L,426 476 km
19 500 AZN,2010,1.8 L,135 000 km
15 400 AZN,2008,1.5 L,265 000 km
12 000 AZN,2008,1.5 L,156 000 km
16 400 AZN,2008,1.5 L,158 000 km
17 800 AZN,2010,1.8 L,205 500 km
22 000 AZN,2013,1.8 L,293 000 km
15 600 AZN,2007,1.5 L,170 000 km
14 000 AZN,2008,1.5 L,321 000 km
15 300 AZN,2008,1.5 L,259 000 km
13 300 AZN,2008,1.5 L,260 000 km
18 500 AZN,2011,1.8 L,174 000 km
16 400 AZN,2006,1.5 L,168 123 km
16 200 AZN,2008,1.5 L,162 000 km
15 900 AZN,2008,1.5 L,177 000 km
13 900 AZN,2008,1.5 L,278 000 km
21 800 AZN,2012,1.8 L,133 826 km
22 900 AZN,2013,1.8 L,249 000 km
19 800 AZN,2011,1.8 L,165 000 km
13 500 AZN,2007,1.5 L,240 000 km
12 000 AZN,2007,1.5 L,220 000 km
12 540 AZN,2008,1.5 L,240 000 km
18 300 AZN,2012,1.8 L,426 476 km
39 000 AZN,2017,1.8 L,37 000 km
19 000 AZN,2010,1.8 L,236 000 km
20 000 AZN,2011,1.8 L,174 775 km
16 300 AZN,2008,1.5 L,184 000 km
23 500 AZN,2015,1.8 L,115 000 km
15 900 AZN,2007,1.5 L,192 000 km
11 900 AZN,2009,1.5 L,213 000 km
16 300 AZN,2008,1.5 L,128 000 km
15 800 AZN,2007,1.5 L,285 000 km
17 200 AZN,2006,1.5 L,163 234 km
14 400 AZN,2008,1.5 L,203 000 km
13 500 AZN,2007,1.5 L,303 000 km
14 700 AZN,2008,1.5 L,241 000 km
18 500 AZN,2010,1.8 L,236 574 km
21 800 AZN,2012,1.8 L,133 826 km
16 800 AZN,2008,1.5 L,307 385 km
16 500 AZN,2007,1.5 L,191 512 km
14 900 AZN,2007,1.5 L,120 000 km
19 000 AZN,2010,1.8 L,112 650 km
19 300 AZN,2012,1.8 L,312 213 km
17 500 AZN,2010,1.8 L,280 000 km
17 800 AZN,2011,1.8 L,290 000 km
20 500 AZN,2010,1.8 L,264 000 km
19 500 AZN,2011,1.8 L,160 000 km
18 800 AZN,2012,1.8 L,231 800 km
13 000 AZN,2006,1.5 L,514 990 km
15 500 AZN,2007,1.5 L,171 458 km
22 900 AZN,2013,1.8 L,249 000 km
21 800 AZN,2012,1.8 L,133 826 km
16 400 AZN,2009,1.5 L,209 666 km
14 900 AZN,2007,1.5 L,165 000 km
13 500 AZN,2007,1.5 L,240 000 km
13 500 AZN,2007,1.5 L,353 000 km
19 800 AZN,2011,1.8 L,165 000 km
19 000 AZN,2009,1.8 L,191 000 km
20 000 AZN,2011,1.8 L,174 775 km
18 300 AZN,2012,1.8 L,426 476 km
19 300 AZN,2012,1.8 L,167 000 km
16 000 AZN,2007,1.5 L,188 000 km
18 000 AZN,2009,1.8 L,276 800 km
12 750 AZN,2006,1.5 L,287 632 km
14 200 AZN,2007,1.5 L,270 000 km
17 500 AZN,2008,1.5 L,158 000 km
12 700 AZN,2007,1.5 L,249 753 km
12 800 AZN,2006,1.5 L,483 304 km
15 500 AZN,2008,1.5 L,220 000 km
12 900 AZN,2007,1.5 L,402 336 km
16 400 AZN,2009,1.5 L,209 666 km
19 000 AZN,2013,1.8 L,235 000 km
16 200 AZN,2007,1.5 L,149 900 km
15 400 AZN,2008,1.5 L,292 901 km
13 000 AZN,2007,1.5 L,350 032 km
14 000 AZN,2007,1.5 L,240 232 km
14 200 AZN,2006,1.5 L,176 000 km
17 700 AZN,2010,1.8 L,135 000 km
15 900 AZN,2008,1.5 L,270 370 km
17 500 AZN,2010,1.8 L,290 000 km
13 200 AZN,2008,1.5 L,245 000 km
13 800 AZN,2006,1.5 L,175 000 km
14 500 AZN,2007,1.5 L,209 785 km
13 800 AZN,2006,1.5 L,370 149 km
22 900 AZN,2013,1.8 L,249 000 km
21 800 AZN,2012,1.8 L,133 826 km
39 000 AZN,2017,1.8 L,37 000 km
16 000 AZN,2007,1.5 L,188 000 km
12 540 AZN,2008,1.5 L,240 000 km
18 300 AZN,2012,1.8 L,426 476 km
19 800 AZN,2011,1.8 L,165 000 km
13 500 AZN,2007,1.5 L,353 000 km
15 000 AZN,2008,1.5 L,232 000 km
14 900 AZN,2007,1.5 L,165 000 km
15 400 AZN,2008,1.5 L,198 000 km
22 900 AZN,2013,1.8 L,249 000 km
15 000 AZN,2008,1.5 L,270 000 km
15 200 AZN,2007,1.5 L,187 000 km
20 600 AZN,2012,1.8 L,295 000 km
9 200 AZN,2007,1.5 L,227 000 km
17 999 AZN,2009,1.5 L,167 851 km
15 000 AZN,2008,1.5 L,232 000 km
16 500 AZN,2007,1.5 L,240 000 km
10 500 AZN,2008,1.5 L,230 000 km
14 900 AZN,2008,1.5 L,160 000 km
16 500 AZN,2008,1.5 L,420 000 km
14 800 AZN,2007,1.5 L,376 586 km
15 900 AZN,2007,1.5 L,187 500 km
21 500 AZN,2013,1.8 L,262 400 km
18 900 AZN,2012,1.8 L,109 600 km
13 600 AZN,2008,1.5 L,188 000 km
20 000 AZN,2011,1.8 L,167 000 km
15 300 AZN,2007,1.5 L,215 000 km
17 800 AZN,2010,1.8 L,209 000 km
